Word	POS	Joint Probability	
the	DT	0.054007434	
","	","	0.050236309	
.	.	0.042495987	
of	IN	0.03107152	
and	CC	0.024039952	
to	TO	0.022159987	
<unk>	NNP	0.020834625	
<unk>	NN	0.020130177	
a	DT	0.018843568	
in	IN	0.016824091	
<unk>	JJ	0.012908287	
<unk>	NNS	0.010310956	
is	VBZ	0.008621313	
was	VBD	0.008419796	
for	IN	0.007613728	
``	``	0.007610283	
''	''	0.007568946	
The	DT	0.006250474	
with	IN	0.006038622	
that	IN	0.005965422	
it	PRP	0.00578974	
he	PRP	0.005654534	
his	PRP$	0.005568416	
on	IN	0.005507272	
be	VB	0.005463351	
as	IN	0.005052567	
;	:	0.00479335	
I	PRP	0.004444571	
by	IN	0.004394622	
at	IN	0.004274056	
had	VBD	0.004254249	
?	.	0.004041537	
<unk>	VBG	0.00401484	
not	RB	0.003809017	
are	VBP	0.00373151	
from	IN	0.003623001	
or	CC	0.003546356	
this	DT	0.003415456	
<unk>	VBN	0.003110597	
an	DT	0.003050314	
which	WDT	0.003048591	
--	:	0.002955584	
were	VBD	0.002823822	
but	CC	0.00258958	
<unk>	RB	0.002568912	
He	PRP	0.002568051	
<unk>	VBD	0.002561161	
<unk>	VB	0.002495711	
they	PRP	0.002388063	
you	PRP	0.002382035	
would	MD	0.00230539	
one	CD	0.002246829	
him	PRP	0.00221841	
their	PRP$	0.002206353	
been	VBN	0.002127125	
)	)	0.00212368	
<unk>	CD	0.002112484	
(	(	0.002096983	
has	VBZ	0.002088371	
her	PRP$	0.001983307	
have	VBP	0.001938525	
will	MD	0.00189805	
who	WP	0.001887715	
all	DT	0.001864463	
It	PRP	0.001754232	
we	PRP	0.001699116	
she	PRP	0.001678448	
said	VBD	0.001673281	
In	IN	0.001550992	
:	:	0.001545825	
than	IN	0.001539797	
them	PRP	0.001538075	
into	IN	0.00153463	
its	PRP$	0.001532908	
that	WDT	0.00151999	
when	WRB	0.001503627	
can	MD	0.001496738	
no	DT	0.001415787	
have	VB	0.001411481	
about	IN	0.001407175	
other	JJ	0.001401146	
!	.	0.00137445	
could	MD	0.001360671	
time	NN	0.001340002	
that	DT	0.001321917	
<unk>	VBZ	0.001319334	
if	IN	0.001262496	
so	RB	0.001257329	
what	WP	0.001222881	
some	DT	0.001211686	
up	RP	0.001206519	
there	EX	0.001194462	
But	CC	0.001183267	
only	RB	0.001172071	
out	RP	0.001159154	
two	CD	0.001129012	
any	DT	0.0011204	
may	MD	0.00111265	
these	DT	0.001057534	
This	DT	0.001015336	
me	PRP	0.001003279	
my	PRP$	0.000999835	
man	NN	0.000991223	
our	PRP$	0.000983472	
more	RBR	0.000975721	
A	DT	0.000971416	
like	IN	0.000953331	
new	JJ	0.000912855	
such	JJ	0.000911133	
now	RB	0.000899937	
then	RB	0.000882714	
over	IN	0.000876685	
must	MD	0.000863768	
also	RB	0.000860323	
more	JJR	0.0008586	
did	VBD	0.000856017	
first	JJ	0.000853433	
Af	NNP	0.000849989	
even	RB	0.000842238	
years	NNS	0.000812097	
And	CC	0.000807791	
through	IN	0.000806929	
many	JJ	0.000796595	
She	PRP	0.000784539	
way	NN	0.000768176	
before	IN	0.000759564	
your	PRP$	0.000747508	
should	MD	0.000744924	
There	EX	0.000732868	
where	WRB	0.000732006	
They	PRP	0.000729423	
Mr.	NNP	0.000726839	
as	RB	0.000721672	
after	IN	0.000708754	
people	NNS	0.00069842	
too	RB	0.000689808	
because	IN	0.000685502	
those	DT	0.000673446	
each	DT	0.000653639	
own	JJ	0.000651055	
very	RB	0.000646749	
just	RB	0.000646749	
good	JJ	0.000642443	
little	JJ	0.000641582	
men	NNS	0.000633831	
If	IN	0.000630387	
well	RB	0.000630387	
still	RB	0.000629526	
between	IN	0.000616608	
do	VB	0.000615747	
back	RB	0.000607135	
being	VBG	0.000595078	
world	NN	0.00058905	
We	PRP	0.000584744	
same	JJ	0.000584744	
life	NN	0.00058216	
us	PRP	0.000576993	
might	MD	0.000576993	
never	RB	0.000571826	
year	NN	0.000558908	
under	IN	0.000558047	
For	IN	0.000558047	
last	JJ	0.000547713	
make	VB	0.000539962	
out	IN	0.000539101	
how	WRB	0.000536518	
day	NN	0.000536518	
made	VBN	0.000535656	
came	VBD	0.000534795	
against	IN	0.000532212	
both	DT	0.000526183	
great	JJ	0.0005236	
here	RB	0.000522739	
most	RBS	0.000520155	
himself	PRP	0.000515849	
get	VB	0.000515849	
see	VB	0.000512404	
work	NN	0.000507237	
When	WRB	0.000503793	
few	JJ	0.00050207	
<unk>	VBP	0.000500348	
her	PRP	0.000497764	
New	NNP	0.000495181	
another	DT	0.000493458	
much	JJ	0.000490014	
old	JJ	0.000489153	
three	CD	0.000476235	
state	NN	0.000468484	
do	VBP	0.000465901	
without	IN	0.000465901	
again	RB	0.000459872	
Mrs.	NNP	0.000459872	
all	PDT	0.000457289	
His	PRP$	0.000456428	
1	CD	0.000453844	
You	PRP	0.000447816	
small	JJ	0.000446093	
home	NN	0.000438343	
went	VBD	0.000435759	
take	VB	0.000428008	
made	VBD	0.000428008	
As	IN	0.000428008	
there	RB	0.000420258	
while	IN	0.000419397	
place	NN	0.000418535	
down	RP	0.00041423	
<unk>	NNPS	0.000413368	
used	VBN	0.000408201	
What	WP	0.00040734	
number	NN	0.000402173	
part	NN	0.000400451	
course	NN	0.000399589	
United	NNP	0.000398728	
go	VB	0.000393561	
since	IN	0.000391839	
during	IN	0.000390116	
most	JJS	0.000386672	
always	RB	0.000386672	
high	JJ	0.00038581	
upon	IN	0.000384949	
fact	NN	0.000384949	
2	CD	0.000384088	
does	VBZ	0.000383227	
got	VBD	0.000380643	
every	DT	0.000373754	
until	IN	0.000372893	
States	NNPS	0.000372893	
water	NN	0.00037117	
To	TO	0.000366864	
took	VBD	0.000366003	
off	RP	0.000364281	
American	JJ	0.00036342	
something	NN	0.000361697	
hand	NN	0.000359975	
school	NN	0.000359114	
One	CD	0.000355669	
around	IN	0.000354808	
far	RB	0.000352224	
At	IN	0.000352224	
once	RB	0.000350502	
almost	RB	0.000349641	
head	NN	0.00034878	
house	NN	0.000344474	
away	RB	0.000343612	
night	NN	0.000342751	
system	NN	0.000338445	
going	VBG	0.000337584	
long	JJ	0.000334139	
eyes	NNS	0.000332417	
however	RB	0.000328972	
group	NN	0.000328111	
toward	IN	0.00032725	
days	NNS	0.000324666	
knew	VBD	0.000322944	
possible	JJ	0.000321222	
program	NN	0.000321222	
given	VBN	0.00032036	
room	NN	0.000315193	
important	JJ	0.000314332	
per	IN	0.000313471	
order	NN	0.00031261	
business	NN	0.00031261	
side	NN	0.000310887	
things	NNS	0.000310887	
John	NNP	0.000310026	
up	RB	0.000310026	
young	JJ	0.000309165	
nothing	NN	0.000308304	
end	NN	0.000307443	
social	JJ	0.000306582	
Then	RB	0.00030572	
use	NN	0.00030572	
case	NN	0.00030572	
rather	RB	0.000304859	
large	JJ	0.000304859	
point	NN	0.000302276	
often	RB	0.000300553	
know	VB	0.000299692	
On	IN	0.00029797	
These	DT	0.000297108	
children	NNS	0.000294525	
least	JJS	0.000293664	
saw	VBD	0.00029108	
several	JJ	0.00029108	
next	JJ	0.000288497	
ever	RB	0.000286774	
looked	VBD	0.000286774	
Of	IN	0.000285913	
thought	VBD	0.000285913	
thing	NN	0.000285052	
much	RB	0.000285052	
though	IN	0.000282468	
power	NN	0.000280746	
four	CD	0.000280746	
interest	NN	0.000278162	
down	RB	0.000278162	
second	JJ	0.000278162	
long	RB	0.000277301	
say	VB	0.000277301	
within	IN	0.00027644	
know	VBP	0.000275579	
face	NN	0.000275579	
area	NN	0.000274718	
present	JJ	0.000272995	
done	VBN	0.000272134	
big	JJ	0.000272134	
among	IN	0.000270412	
public	JJ	0.000270412	
give	VB	0.000270412	
country	NN	0.000268689	
problem	NN	0.000268689	
began	VBD	0.000268689	
members	NNS	0.000268689	
seemed	VBD	0.000267828	
family	NN	0.000267828	
kind	NN	0.000266967	
development	NN	0.000266967	
